round,decode_step,position,step_energy_mj,active_requests,per_token_energy_mj
0,235,235,77626.0002,30,2587.5333
0,236,236,79919.9997,30,2664.0
0,237,237,80077.0003,30,2669.2333
0,238,238,79931.9999,30,2664.4
0,239,239,79469.0,30,2648.9667
0,240,240,80400.0,30,2680.0
0,241,241,78969.0001,30,2632.3
0,242,242,80755.0001,30,2691.8333
0,243,243,77637.0001,30,2587.9
0,244,244,81035.9999,30,2701.2
0,245,245,81378.0001,30,2712.6
0,246,246,78706.0001,30,2623.5333
0,247,247,82872.0003,30,2762.4
0,248,248,79674.9998,30,2655.8333
0,249,249,79675.0,30,2655.8333
0,250,250,79570.0002,30,2652.3333
0,251,251,80122.9998,30,2670.7667
0,252,252,77830.0,30,2594.3333
0,253,253,81334.0001,30,2711.1333
0,254,254,80000.9999,30,2666.7
0,255,255,80115.0001,30,2670.5
0,256,256,79229.0001,30,2640.9667
0,257,257,79290.9999,30,2643.0333
0,258,258,79402.0,30,2646.7333
0,259,259,77938.0001,30,2597.9333
0,260,260,80245.0,30,2674.8333
0,261,261,81593.0001,30,2719.7667
0,262,262,78577.0,30,2619.2333
0,263,263,79688.0001,30,2656.2667
0,264,264,77575.9999,30,2585.8667
0,265,265,80737.9998,30,2691.2667
0,266,266,79944.0001,30,2664.8
0,267,267,78762.0002,30,2625.4
0,268,268,80070.0001,30,2669.0
0,269,269,78129.9998,30,2604.3333
0,270,270,80882.0002,30,2696.0667
0,271,271,80918.0,30,2697.2667
0,272,272,79664.9998,30,2655.5
0,273,273,80069.0002,30,2668.9667
0,274,274,77826.9999,30,2594.2333
0,275,275,79124.0001,30,2637.4667
0,276,276,81908.0,30,2730.2667
0,277,277,78692.9998,30,2623.1
0,278,278,80111.0001,30,2670.3667
0,279,279,78719.0,30,2623.9667
0,280,280,79675.0001,30,2655.8333
0,281,281,82570.0001,30,2752.3333
0,282,282,78653.9999,30,2621.8
0,283,283,79916.0,30,2663.8667
0,284,284,82349.0,30,2744.9667
0,285,285,79594.0002,30,2653.1333
0,286,286,79909.0,30,2663.6333
0,287,287,79020.9999,30,2634.0333
0,288,288,80084.0,30,2669.4667
0,289,289,78854.9999,30,2628.5
0,290,290,80420.0,30,2680.6667
0,291,291,78875.0,30,2629.1667
0,292,292,80133.9998,30,2671.1333
0,293,293,81517.0002,30,2717.2333
0,294,294,78827.9999,30,2627.6
0,295,295,81821.9998,30,2727.4
0,296,296,79012.0,30,2633.7333
0,297,297,79626.0,30,2654.2
0,298,298,81249.0,30,2708.3
0,299,299,79153.9999,30,2638.4667
0,300,300,83352.0,30,2778.4
0,301,301,79733.0002,30,2657.7667
0,302,302,79484.0001,30,2649.4667
0,303,303,82674.0,30,2755.8
0,304,304,78352.9998,30,2611.7667
0,305,305,81408.0,30,2713.6
0,306,306,80407.9999,30,2680.2667
0,307,307,79657.0002,30,2655.2333
0,308,308,82395.0,30,2746.5
0,309,309,81240.9999,30,2708.0333
0,310,310,81462.9999,30,2715.4333
0,311,311,79337.0003,30,2644.5667
0,312,312,80714.0,30,2690.4667
0,313,313,81268.9999,30,2708.9667
0,314,314,79341.9999,30,2644.7333
0,315,315,79892.0001,30,2663.0667
0,316,316,79069.0,30,2635.6333
0,317,317,81801.0001,30,2726.7
0,318,318,79318.0,30,2643.9333
0,319,319,81445.0001,30,2714.8333
0,320,320,82766.0002,30,2758.8667
0,321,321,82782.0001,30,2759.4
0,322,322,80671.9999,30,2689.0667
0,323,323,79539.0,30,2651.3
0,324,324,80171.9998,30,2672.4
0,325,325,78785.9998,30,2626.2
0,326,326,80649.0003,30,2688.3
0,327,327,80768.9999,30,2692.3
0,328,328,79714.0,30,2657.1333
0,329,329,80253.9999,30,2675.1333
0,330,330,78946.9999,30,2631.5667
0,331,331,82627.0001,30,2754.2333
0,332,332,81260.9998,30,2708.7
0,333,333,80058.0002,30,2668.6
0,334,334,79842.9999,29,2753.2069
0,335,335,78155.9999,29,2695.0345
0,336,336,79600.0001,29,2744.8276
0,337,337,80831.0,29,2787.2759
0,338,338,79751.9999,29,2750.069
0,339,339,80548.0001,29,2777.5172
0,340,340,78766.0,29,2716.069
0,341,341,80806.0001,29,2786.4138
0,342,342,79947.0,29,2756.7931
0,343,343,79681.9997,29,2747.6552
0,344,344,80600.0003,29,2779.3104
0,345,345,78406.9999,29,2703.6897
0,346,346,82172.0002,29,2833.5172
0,347,347,80527.0001,29,2776.7931
0,348,348,79647.9999,29,2746.4828
0,349,349,79221.9999,29,2731.7931
0,350,350,78318.0001,29,2700.6207
0,351,351,82135.0,29,2832.2414
0,352,352,80193.0,29,2765.2759
0,353,353,79847.9999,29,2753.3793
0,354,354,79995.9999,29,2758.4828
0,355,355,78834.0001,29,2718.4138
0,356,356,81846.9999,29,2822.3103
0,357,357,80518.9999,29,2776.5172
0,358,358,81207.0001,29,2800.2414
0,359,359,79538.9999,29,2742.7241
0,360,360,79945.9999,29,2756.7586
0,361,361,79463.0001,29,2740.1035
0,362,362,78427.0,29,2704.3793
0,363,363,79522.9998,29,2742.1724
0,364,364,79956.9999,29,2757.1379
