position,mean_energy_mj,std_energy_mj,min_energy_mj,max_energy_mj,count,active_requests,step_energy_mj,phase
59,2571.9444,45.0723,2540.4,2623.5667,3,30,77158.3333,decode
60,2556.4222,108.0597,2439.9,2653.3333,3,30,76692.6668,decode
61,2512.9111,66.3545,2438.5667,2566.1333,3,30,75387.3334,decode
62,2509.1889,81.9418,2415.4667,2567.3,3,30,75275.6666,decode
63,2504.6222,123.6193,2363.7,2594.7667,3,30,75138.6665,decode
64,2588.7778,111.4607,2460.6,2662.9333,3,30,77663.3334,decode
65,2640.1111,18.4032,2624.0,2660.1667,3,30,79203.3332,decode
66,2594.2889,85.2639,2520.3667,2687.5667,3,30,77828.6667,decode
67,2584.5333,88.9004,2505.9667,2681.0333,3,30,77535.9999,decode
68,2517.4667,83.9074,2420.6333,2568.7,3,30,75523.9999,decode
69,2504.8333,68.7836,2425.5667,2548.8,3,30,75145.0,decode
70,2551.8,95.8093,2448.8,2638.2667,3,30,76554.0002,decode
71,2547.5444,125.1259,2417.9,2667.6,3,30,76426.3332,decode
72,2671.0778,70.3073,2602.4667,2742.9667,3,30,80132.3334,decode
73,2564.7222,82.5527,2490.5,2653.6333,3,30,76941.6666,decode
74,2524.2222,37.1042,2482.1,2552.0667,3,30,75726.6666,decode
75,2542.2444,29.7307,2518.3333,2575.5333,3,30,76267.3333,decode
76,2531.6,130.5723,2400.3333,2661.4667,3,30,75947.9999,decode
77,2514.6111,24.305,2486.6667,2530.8333,3,30,75438.3334,decode
78,2571.3778,127.0522,2456.4333,2707.8,3,30,77141.3333,decode
79,2547.8778,66.2233,2480.3667,2612.7333,3,30,76436.3334,decode
80,2520.7333,45.569,2474.9,2566.0333,3,30,75622.0,decode
81,2504.7444,35.7306,2464.6333,2533.1667,3,30,75142.3333,decode
82,2557.7333,91.6737,2451.9,2612.5333,3,30,76732.0001,decode
83,2498.4667,54.3015,2436.0,2534.4,3,30,74953.9999,decode
84,2519.5333,39.3467,2489.6,2564.1,3,30,75586.0,decode
85,2522.0111,59.9747,2459.2667,2578.7667,3,30,75660.3332,decode
86,2502.1,96.7846,2405.6,2599.1667,3,30,75063.0001,decode
87,2546.0667,120.4989,2426.7,2667.6667,3,30,76381.9999,decode
88,2540.3222,29.3462,2509.4333,2567.8333,3,30,76209.6668,decode
89,2532.3333,93.0246,2447.0,2631.5,3,30,75969.9999,decode
90,2520.6333,30.1229,2494.9,2553.7667,3,30,75619.0001,decode
91,2483.5,70.111,2423.1333,2560.4,3,30,74505.0001,decode
92,2505.8444,84.1506,2416.5,2583.6,3,30,75175.3333,decode
93,2560.4,16.9853,2544.2333,2578.1,3,30,76812.0,decode
94,2504.0667,74.8764,2434.4333,2583.2667,3,30,75121.9999,decode
95,2538.3667,31.1372,2503.8333,2564.3,3,30,76151.0,decode
96,2553.5,105.4171,2432.9,2628.1,3,30,76605.0,decode
97,2526.4659,60.1795,2459.4667,2575.931,3,30,75793.977,decode
98,2563.3785,77.2848,2492.069,2645.5,3,30,76901.3563,decode
99,2587.5257,158.4833,2445.2,2758.3103,3,30,77625.7702,decode
100,2547.1425,69.0602,2472.5333,2608.8276,3,30,76414.2758,decode
101,2590.7092,41.6738,2566.2333,2638.8276,3,30,77721.2758,decode
102,2559.4866,51.2249,2500.6333,2594.0333,3,30,76784.5977,decode
103,2580.2678,12.1245,2573.1035,2594.2667,3,30,77408.0346,decode
104,2550.9655,35.5906,2514.0,2585.0,3,30,76528.9656,decode
105,2516.1345,34.4884,2479.8333,2548.4667,3,30,75484.0345,decode
