round,request_idx,pool_idx,source,prompt_len,generated_tokens,inject_time_s,request_id
0,57,17,WizardLM,66,1014,228.01,stream_139964436663120_57_14090663953540448
0,58,18,LongForm,15,12000,232.01,stream_139964436663120_58_14090667953718813
0,59,19,LongForm,263,12000,236.06,stream_139964436663120_59_14090672003202942
0,60,0,python_code,50,1565,240.05,stream_139964436663120_60_14090675991329081
0,61,1,WizardLM,14,12000,244.02,stream_139964436663120_61_14090679962185144
0,62,2,python_code,50,12000,248.02,stream_139964436663120_62_14090683968523243
0,63,3,WizardLM,82,12000,252.02,stream_139964436663120_63_14090687965703661
0,64,4,python_code,13,12000,256.04,stream_139964436663120_64_14090691982279784
0,65,5,python_code,47,12000,260.02,stream_139964436663120_65_14090695968348002
0,66,6,python_code,15,12000,264.03,stream_139964436663120_66_14090699969582516
0,67,7,LongForm,395,2501,268.04,stream_139964436663120_67_14090703987910367
0,68,8,WizardLM,140,12000,272.02,stream_139964436663120_68_14090707960080025
0,69,9,LongForm,14,12000,276.03,stream_139964436663120_69_14090711973457594
0,70,10,LongForm,12,12000,280.03,stream_139964436663120_70_14090715969670010
0,71,11,python_code,14,12000,284.01,stream_139964436663120_71_14090719955177994
0,72,12,WizardLM,133,12000,288.01,stream_139964436663120_72_14090723953995477
