round,request_idx,pool_idx,source,prompt_len,generated_tokens,inject_time_s,is_warmup,request_id
0,75,15,WizardLM,154,5922,110.04,False,stream_139960412207088_75_14160121807285952
0,76,16,WizardLM,16,1040,112.02,False,stream_139960412207088_76_14160123782298784
0,77,17,WizardLM,66,5922,114.01,False,stream_139960412207088_77_14160125776819933
0,78,18,LongForm,15,5922,116.01,False,stream_139960412207088_78_14160127777357341
0,79,19,LongForm,263,1113,118.04,False,stream_139960412207088_79_14160129802732031
0,80,0,python_code,50,5922,120.02,False,stream_139960412207088_80_14160131786902361
0,81,1,WizardLM,14,5922,122.03,False,stream_139960412207088_81_14160133793196902
0,82,2,python_code,50,3093,124.04,False,stream_139960412207088_82_14160135801823561
0,83,3,WizardLM,82,5922,126.06,False,stream_139960412207088_83_14160137830686157
0,84,4,python_code,13,5922,128.02,False,stream_139960412207088_84_14160139787613820
0,85,5,python_code,47,5922,130.03,False,stream_139960412207088_85_14160141800281071
0,86,6,python_code,15,5922,132.01,False,stream_139960412207088_86_14160143778379976
0,87,7,LongForm,395,1306,134.06,False,stream_139960412207088_87_14160145822962090
0,88,8,WizardLM,140,5916,136.01,False,stream_139960412207088_88_14160147779943064
0,89,9,LongForm,14,5882,138.04,False,stream_139960412207088_89_14160149805233613
0,90,10,LongForm,12,5849,140.0,False,stream_139960412207088_90_14160151768315025
0,91,11,python_code,14,5815,142.01,False,stream_139960412207088_91_14160153779029013
0,92,12,WizardLM,133,5783,144.05,False,stream_139960412207088_92_14160155814394394
0,93,13,python_code,18,5751,146.03,False,stream_139960412207088_93_14160157795497332
0,94,14,python_code,50,5686,148.02,False,stream_139960412207088_94_14160159789862872
0,95,15,WizardLM,154,5654,150.02,False,stream_139960412207088_95_14160161784032912
0,96,16,WizardLM,16,1246,152.05,False,stream_139960412207088_96_14160163815874596
0,97,17,WizardLM,66,5589,154.03,False,stream_139960412207088_97_14160165795218022
0,98,18,LongForm,15,5557,156.05,False,stream_139960412207088_98_14160167811249112
0,99,19,LongForm,263,5525,158.01,False,stream_139960412207088_99_14160169776101966
0,100,0,python_code,50,5460,160.01,False,stream_139960412207088_100_14160171776555965
0,101,1,WizardLM,14,5396,162.07,False,stream_139960412207088_101_14160173833762877
0,102,2,python_code,50,4364,164.03,False,stream_139960412207088_102_14160175792608473
0,103,3,WizardLM,82,1955,166.03,False,stream_139960412207088_103_14160177794781620
0,104,4,python_code,13,5301,168.0,False,stream_139960412207088_104_14160179768203087
0,105,5,python_code,47,5269,170.03,False,stream_139960412207088_105_14160181797136669
0,106,6,python_code,15,5205,172.05,False,stream_139960412207088_106_14160183812413519
0,107,7,LongForm,395,1601,174.0,False,stream_139960412207088_107_14160185766778280
0,108,8,WizardLM,140,5143,176.03,False,stream_139960412207088_108_14160187799289484
0,109,9,LongForm,14,5111,178.02,False,stream_139960412207088_109_14160189783806358
0,110,10,LongForm,12,4816,180.06,False,stream_139960412207088_110_14160191825165426
0,111,11,python_code,14,5019,182.05,False,stream_139960412207088_111_14160193811230248
0,112,12,WizardLM,133,4989,184.03,False,stream_139960412207088_112_14160195797968209
0,113,13,python_code,18,4959,186.02,False,stream_139960412207088_113_14160197788292146
0,114,14,python_code,50,4928,188.02,False,stream_139960412207088_114_14160199783544933
0,115,15,WizardLM,154,4898,190.02,False,stream_139960412207088_115_14160201789264739
0,116,16,WizardLM,16,1098,192.01,False,stream_139960412207088_116_14160203772687109
0,117,17,WizardLM,66,4867,194.02,False,stream_139960412207088_117_14160205787652701
0,118,18,LongForm,15,4837,196.05,False,stream_139960412207088_118_14160207813087137
0,119,19,LongForm,263,4810,198.01,False,stream_139960412207088_119_14160209771317309
0,120,0,python_code,50,4777,200.03,False,stream_139960412207088_120_14160211791025525
0,121,1,WizardLM,14,4748,202.06,False,stream_139960412207088_121_14160213827406008
0,122,2,python_code,50,4718,204.02,False,stream_139960412207088_122_14160215789198450
0,123,3,WizardLM,82,4688,206.02,False,stream_139960412207088_123_14160217782479008
0,124,4,python_code,13,4659,208.01,False,stream_139960412207088_124_14160219773158973
0,125,5,python_code,47,4630,210.03,False,stream_139960412207088_125_14160221797539253
0,126,6,python_code,15,4617,212.01,False,stream_139960412207088_126_14160223771794849
0,127,7,LongForm,395,1504,214.01,False,stream_139960412207088_127_14160225778802840
0,128,8,WizardLM,140,4572,216.01,False,stream_139960412207088_128_14160227772448012
0,129,9,LongForm,14,3138,218.02,False,stream_139960412207088_129_14160229789619866
0,130,10,LongForm,12,4408,220.02,False,stream_139960412207088_130_14160231781323517
0,131,11,python_code,14,4377,222.01,False,stream_139960412207088_131_14160233777399632
0,132,12,WizardLM,133,3786,224.01,False,stream_139960412207088_132_14160235779050702
0,133,13,python_code,18,3737,226.02,False,stream_139960412207088_133_14160237787955664
0,134,14,python_code,50,3686,228.01,False,stream_139960412207088_134_14160239772709130
0,135,15,WizardLM,154,3574,230.04,False,stream_139960412207088_135_14160241807384949
0,136,16,WizardLM,16,3473,232.06,False,stream_139960412207088_136_14160243822886180
0,137,17,WizardLM,66,3379,234.07,False,stream_139960412207088_137_14160245832409825
0,138,18,LongForm,15,3098,236.01,False,stream_139960412207088_138_14160247780806169
0,139,19,LongForm,263,2830,238.08,False,stream_139960412207088_139_14160249843600174
0,140,0,python_code,50,2280,240.08,False,stream_139960412207088_140_14160251845827700
0,141,1,WizardLM,14,2152,242.0,False,stream_139960412207088_141_14160253770710314
0,142,2,python_code,50,1334,244.06,False,stream_139960412207088_142_14160255827835511
0,143,3,WizardLM,82,1022,246.07,False,stream_139960412207088_143_14160257840360414
0,144,4,python_code,13,1001,248.08,False,stream_139960412207088_144_14160259844715385
0,145,5,python_code,47,235,250.01,False,stream_139960412207088_145_14160261771749221
0,146,6,python_code,15,0,252.0,False,stream_139960412207088_146_14160263770600441
0,147,7,LongForm,395,0,254.01,False,stream_139960412207088_147_14160265777246823
0,148,8,WizardLM,140,0,256.01,False,stream_139960412207088_148_14160267776596643
0,149,9,LongForm,14,0,258.02,False,stream_139960412207088_149_14160269781249588
0,150,10,LongForm,12,0,260.04,False,stream_139960412207088_150_14160271800934469
0,151,11,python_code,14,0,262.03,False,stream_139960412207088_151_14160273796324666
0,152,12,WizardLM,133,0,264.06,False,stream_139960412207088_152_14160275825727592
0,153,13,python_code,18,0,266.06,False,stream_139960412207088_153_14160277829942392
0,154,14,python_code,50,0,268.01,False,stream_139960412207088_154_14160279780180064
0,155,15,WizardLM,154,0,270.04,False,stream_139960412207088_155_14160281808920393
0,156,16,WizardLM,16,0,272.02,False,stream_139960412207088_156_14160283782768245
0,157,17,WizardLM,66,0,274.02,False,stream_139960412207088_157_14160285786407379
0,158,18,LongForm,15,0,276.03,False,stream_139960412207088_158_14160287791829799
0,159,19,LongForm,263,0,278.05,False,stream_139960412207088_159_14160289811399473
